순위,마번,마명,산지,성별,연령,중량,레이팅,기수명,조교사명,마주명,도착차,마체중,단승,연승,장구현황
1,3,이글스카이,한,수,2세,54.5,,임기원,박윤규,이방훈,,481(-10),1.9,1.0,망사눈
2,8,달려라파챠이,한,거,4세,55,,(-1)하정훈,박희철,한영석,목,428(-1),17.4,3.4,"망사눈, 승인재갈"
3,7,천녹,한,암,3세,54,,신지,최봉주,조금제,½,450(-17),57.4,16.3,"망사눈, 승인재갈"
4,12,큐피드닥터,한,암,3세,54,,신형철,유재길,♠서순배,¾,470(10),4.8,1.6,
5,2,소중한성불,한,암,2세,52.5,,조재로,배휴준,♠최동천,¾,450(0),4.4,1.2,
6,10,운해질주,한,수,3세,56,,얀,정호익,♠박정재,4,482(0),16.1,2.9,"망사눈, 혀끈"
7,5,무적의순간,한,수,2세,53.5,,(-1)김태훈,지용철,♠금악목장,2½,484(12),42.0,7.8,
8,6,전신묵향,한,암,3세,54,,정정희,김동철,김근영,2½,427(-7),96.9,15.7,망사눈
9,1,스피드청룡,한,수,2세,54.5,,이혁,김점오,과천시청,목,489(-4),18.8,4.9,
10,11,제이에스골드,한,거,3세,56,,이기회,서홍수,문석현,½,411(-2),106.8,19.1,"망사, 승인재갈"
11,4,과천비행,한,수,4세,52,,(-4)김효정,손영표,김채형,목,497(-15),32.0,7.8,
12,9,슈퍼디바,한,암,3세,54,,이찬호,지용훈,남기태,7,495(7),52.9,12.9,망사
1,7,스위틀리휴머,한,수,2세,53.5,,박태종,정호익,최용도,,480(10),6.1,2.0,망사눈
2,2,노스웨스트,한,암,3세,50,,(-4)김효정,배대선,♠지대섭,목,463(1),4.2,1.4,망사눈
3,3,동서가득,한,암,3세,54.5,,이찬호,곽영효,김세민,½,451(-4),4.3,1.6,망사눈
4,4,럭키봉화,한,수,2세,50,,(-4)김덕현,박재우,최기영,1,469(-2),3.1,1.5,망사
5,5,베스트시대,한,거,4세,56,,신형철,임봉춘,김순건,½,524(-5),34.9,7.3,"망사, 승인재갈"
6,8,샤나오,한,암,3세,53,,김정준,박병일,이용대,2,468(-5),10.0,3.5,망사눈
7,6,위대한발자국,한,수,2세,53.5,,이혁,지용철,최성룡,¾,475(-4),51.3,9.1,승인재갈
8,1,삼다불꽃,한,수,3세,55,,문정균,박흥진,송용식,1,496(6),38.5,7.5,망사눈
9,11,좋은나들이,한,암,3세,53,,임기원,김양선,강석대,½,400(0),31.2,5.6,망사눈
10,10,아라비아공주,한,암,3세,54.5,,안토니오,이관호,말사모,½,487(5),16.0,3.6,"망사눈, 승인재갈"
11,9,미라클하트,한,수,4세,55,,빅투아르,박윤규,김창희,6,492(-5),42.3,9.4,"망사, 승인재갈"
1,1,신의명령,한,암,2세,54.5,32,송재철,박재우,이종천,,441(8),1.1,1.0,망사
2,5,퍼스티지,한,암,3세,55,30,신지,김동균,최임규,6,433(3),14.2,2.9,망사눈
3,6,사이먼미사일,한,암,3세,54.5,29,이기회,지용훈,오현주,½,458(1),28.9,6.5,망사
4,3,우승디자인,한,암,3세,54,28,박상우,김동철,서정범,목,464(9),24.7,7.1,
5,2,주극성,한,암,4세,51,21,(-4)김효정,배대선,강종우,¾,461(-4),25.6,8.4,망사
6,7,진격의레이스,한,암,3세,52,28,(-2)이철경,서인석,서창식,2½,441(-6),11.5,2.4,"망사눈, 승인재갈"
7,4,파티타임,한,암,5세,*52,23,윤영민,최상식,♠오상철,1½,447(-6),15.3,3.0,
1,6,창영,한,거,4세,52.5,26,김옥성,서홍수,포트폴리오,,473(1),32.8,4.5,"망사눈, 승인재갈"
2,5,천년함성,한,수,4세,55.5,32,이찬호,김동철,황의영,¾,472(-3),10.5,1.9,망사눈
